,Name,2_March,18_May
3264,Richfield Fin Sers,32.04,63.94
3265,Richirich Inventures,9.06,9.98
3266,Rico Auto Inds,130.05,134.4
3267,Riddhi Corporate Serv,127.3,98.5
3268,Riddhi Siddhi GluCo,591.7,579.15
3269,Ridhi Synthetics,4.11,4.11
3270,Riga Sugar Co,5.25,5.25
3271,RIR Power Electronic,916.55,1830.0
3272,Risa International,0.79,0.67
3273,Rishabh Digha Steel,45.42,26.55
3274,Rishabh Instruments,511.6,491.6
3275,Rishi Laser,85.99,95.05
3276,Rishi Techtex,0.0,0.0
3277,Rishiroop,193.7,186.5
3278,Rita Finance,23.0,20.7
3279,Ritco,251.15,266.1
3280,RITES,791.85,715.9
3281,Ritesh International,27.98,27.72
3282,Ritesh Properties,44.2,30.88
3283,RKD Agri & Retail,7.65,8.35
3284,RKEC Projects,102.8,89.6
3285,RLF,9.7,8.55
3286,RO Jewels,4.14,3.83
3287,RO Jewels,4.14,3.83
3288,RO Jewels,4.14,3.83
3289,RO Jewels,4.14,3.83
3290,Robust Hotels,212.0,160.75
3291,Rockon,0.0,0.0
3292,Rodium Realty,50.85,54.16
3293,Rohit Ferro-Tech,28.55,28.55
3294,Rolex Rings,2033.8,2253.55
3295,Rollatainers,1.6,3.4
3296,Rolta India,3.75,6.25
3297,Roopa Industries,59.14,59.7
3298,Rose Merc,140.0,125.05
3299,Roselabs Fin,31.01,33.22
3300,Rossari Biotech,740.3,695.25
3301,Rossell India,424.7,485.85
3302,Roto Pumps,400.5,454.9
3303,Rotographics India,38.89,40.83
3304,Route Mobile,1591.85,1456.75
3305,Royal Cushion Vinyl,0.0,0.0
3306,Royal India Corp,8.38,21.29
3307,Royal Orchid Hotel,403.5,379.6
3308,Royale Manor Hotel,44.37,45.9
3309,RPG Life Sciences,1560.8,1503.55
3310,RPP Infra Projects,114.55,119.75
3311,RPSG Ventures,704.9,698.75
3312,RR Financial,15.21,29.03
3313,RR Kabel,1462.3,1777.45
3314,RR Metalmakers,46.2,50.0
3315,RRIL,28.19,22.5
3316,RS Software,188.6,247.0
3317,RSC International,9.76,8.1
3318,RSD Finance,99.8,103.0
3319,RSWM,198.0,181.2
3320,RTCL,23.14,17.54
3321,RTS Power Corp,177.2,265.8
3322,Rubfila Intl,0.0,0.0
3323,Rubra Medicaments,8.4,9.94
3324,Ruby Mills,218.75,214.45
3325,Ruchira Papers,132.2,126.7
3326,Rudra Ecovation,52.7,52.14
3327,Rudra Global Infra,49.29,38.86
3328,Rudra Global Infra,49.29,38.86
3329,Rudra Global Infra,49.29,38.86
3330,Rudra Global Infra,49.29,38.86
3331,Rudrabhishek Entr,209.85,193.5
3332,Rungta Irrigation,71.0,67.7
3333,Rupa & Company,273.6,267.8
3334,Rushil Decor,349.05,324.8
3335,S & S Power Switch,274.35,278.0
3336,S & T Corporation,33.8,26.35
3337,S & T Corporation,33.8,26.35
3338,S & T Corporation,33.8,26.35
3339,S & T Corporation,33.8,26.35
3340,S Chand & Co,267.85,234.1
3341,SAB Events,7.65,11.0
3342,SAB Industries,172.0,184.0
3343,Saboo Sodium Chloro,18.8,18.0
3344,Sabrimala Industries,5.64,14.77
3345,Sacheta Metals,23.35,21.65
3346,Sadbhav Engineering,34.0,30.6
3347,Sadbhav Infra,8.85,6.7
3348,Sadhana Nitro Chem,75.6,67.7
3349,Sadhna Broadcast,4.87,4.14
3350,Safari Industries,2040.85,2112.45
3351,Saffron Industries,8.0,7.25
3352,Sagar Cements,251.65,217.05
3353,Sagar Soya Products,1.41,1.48
3354,Sagar Systech,61.75,61.75
3355,Sagardeep Alloys,29.0,27.6
3356,Sagarsoft India,193.25,192.0
3357,Sah Polymers,118.3,97.15
3358,Sahara Hsg Fin,52.0,36.0
3359,Sahara One Media Ent,15.65,15.65
3360,Sahyadri Industries,404.25,373.3
3361,Sai Baba Invest,1.4,1.4
3362,Sai Capital,154.8,153.65
3363,Sai Silks (Kalaman),228.65,186.85
3364,Saianand Commercial,0.68,0.61
3365,SAIL,137.65,169.15
3366,Sainik Finance,40.0,37.91
3367,Saint-Gobain,130.2,132.6
3368,Sakar Healthcare,376.8,352.0
3369,Saksoft,268.55,279.65
3370,Sakthi Finance,0.0,0.0
3371,Sakthi Sugars,36.3,34.35
3372,Sakuma Exports,26.05,27.3
3373,Sal Automotive,573.0,501.0
3374,SAL Steel,21.8,21.65
3375,Salasar Techno,24.25,20.45
3376,Salem Erode,52.5,68.61
3377,Salguti Industries,34.2,39.25
3378,Salona Cotspin,337.0,305.3
3379,Salora International,0.0,0.0
3380,Salzer Electronics,737.1,797.7
3381,Sam Industries,0.0,0.0
3382,Sambandam Spinning,0.0,0.0
3383,Sambhaav Media,6.1,5.3
3384,Samhi Hotels,226.65,203.2
3385,Samkrg Pistons,164.95,165.6
3386,Sampann Utpadan,22.3,25.55
3387,Sampre Nutritions,69.89,58.0
3388,Samrat Forgings,330.0,335.0
3389,Samrat Pharmachem,366.6,361.0
3390,Samsrita Labs,16.8,16.99
3391,Samtex Fashions,2.55,2.4
3392,Samvardhana Motherson,120.05,129.95
3393,Samyak Intl,22.95,29.26
3394,Sanathnagar Entr,0.0,0.0
3395,Sanblue Corporation,43.49,39.3
3396,Sanchay Finvest,42.0,37.0
3397,Sanco Industries,6.25,7.9
3398,Sanco Trans,605.2,690.0
3399,Sandesh,1311.95,1205.95
